student_id,event_type,event_time
S001,exam_started,2026-09-13T10:00:00
S001,copy,2026-09-13T10:00:30
S001,paste,2026-09-13T10:01:00
S001,tab_hidden,2026-09-13T10:02:00
S001,tab_visible,2026-09-13T10:03:00
S001,window_blur,2026-09-13T10:04:00
S001,window_focus,2026-09-13T10:05:00
S001,right_click,2026-09-13T10:06:00
S001,cut,2026-09-13T10:07:00
S001,fullscreen_exit,2026-09-13T10:08:00
S001,normal_activity,2026-09-13T10:09:00
S001,exam_submitted,2026-09-13T10:30:00
S002,exam_started,2026-09-13T11:00:00
S002,normal_activity,2026-09-13T11:01:00
S002,tab_hidden,2026-09-13T11:02:00
S002,tab_visible,2026-09-13T11:03:00
S002,paste,2026-09-13T11:04:00
S002,exam_submitted,2026-09-13T11:30:00
S003,exam_started,2026-09-13T12:00:00
S003,normal_activity,2026-09-13T12:01:00
S003,normal_activity,2026-09-13T12:02:00
S003,window_blur,2026-09-13T12:03:00
S003,window_focus,2026-09-13T12:04:00
S003,exam_submitted,2026-09-13T12:30:00
